ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AGO,0.9748740104,1.0436065044,0.2792479251,1.6884850374,-1.0456103884,1.3230672824,1.0563882062,1.1633552662,1.2289596152,0.8842715003,0.9755608794,0.988301888,0.8963168875,1.1941740698,1.0971999702,1.0275676968
ALB,1.1079433902,1.0200115043,0.7500504302,0.8177720928,1.1756756278,1.0709542541,1.2804030843,1.1025042334,0.9141979455,1.0652954738,0.9718331658,0.7683345296,1.2313704688,0.9783783655,1.0435312219,1.0274825578
AND,0.9802087874,1.1213356117,1.099666016,1.2258560553,1.0473793982,1.1163058363,1.1959535039,1.0284168999,0.8281148798,1.003714571,0.8930404562,1.0008529728,0.9647997932,0.9987297142,,
ARE,0.2973000357,1.2274443987,1.3822228216,0.6303017969,1.0658193151,1.044498071,1.0571594837,0.8709163443,0.7383309584,0.7638846738,1.1185044625,1.142947407,0.9379373444,1.1544130154,1.0584325069,0.9935857932
ARG,1.0499262776,1.0276302617,0.9094726611,1.0034534328,0.8319650547,1.1171090199,0.9899249132,1.183257971,0.918866256,0.9754875487,1.1095961413,1.0793604056,0.9719340126,1.0748434617,0.9376560389,1.024973036
ARM,0.8099014599,1.1445646875,1.5638640735,1.0100414014,1.0765482524,0.8620618884,1.2495912073,0.9422865366,0.9357443881,1.1178772305,1.1103229605,0.75402,0.8164354959,1.1366902768,1.0841930939,1.0121842888
ATG,1.1433858189,0.8960766728,0.914792841,0.976476065,1.0191477568,1.1071612344,1.1800974443,0.9692857909,0.9540673545,0.6445014523,0.8036379443,1.006322665,1.0330699378,0.9959981658,1.0422715156,1.0366664402
AUS,1.0407510174,0.9937704702,1.0530743971,1.024975517,1.0099046928,1.0424376885,1.030322078,1.0349863296,1.0462626603,1.0152181091,1.0512439195,1.0598916791,1.058775492,1.0989862257,1.0715149564,1.0143674896
AUT,1.0483332412,0.9047340658,0.9807045427,0.8509777913,1.0446303735,1.0118870412,1.1348124458,1.1430122735,1.0364259136,1.0931140777,0.8939050107,1.117804212,1.0899460289,0.9948437415,1.1219772044,0.9479507194
AZE,1.1531954171,1.2504293526,1.1502640678,1.1526062453,1.102789803,1.3694087689,1.3601874108,1.9984434189,0.8704099095,1.4006085122,1.1757320156,0.820766493,0.916530428,1.1108395907,0.9454688529,0.965224967
BDI,0.9573315484,1.6293798842,1.0159137735,1.4553302355,0.6311421147,1.464444445,0.6675831683,1.0957166391,1.0607568621,1.0693685084,0.8405804703,0.8021888924,0.7403550344,1.0121691157,1.0394100081,0.8989540903
BEL,1.0381295812,1.0268176613,1.0297288193,0.9914503301,1.0548683528,1.0972300119,1.0952714097,1.1393214913,0.975230559,1.1691556267,0.9240531324,1.198732816,1.0792939825,0.9826466396,1.1403276416,0.9537473338
BEN,1.0688759001,0.8287528447,0.7952247168,0.7997750174,0.954853571,1.1256505425,-0.179722,0.7881232307,1.1363062802,0.9320228807,0.8562813654,0.9729812156,1.0169425316,1.036336571,1.1391061286,1.0017232121
BFA,0.7980344736,1.2195694273,1.0720341301,1.004368185,1.0408841359,1.1316435055,0.6950891607,0.680725698,0.8042464695,1.04371738,1.1372837978,0.8679404297,0.7387449557,0.7253404641,1.0959173322,1.0381454834
BGD,0.8916831196,0.7639777463,0.9981322616,0.975404481,0.9879087696,1.0334971547,0.9207377275,1.1000190791,0.8812682433,0.924447543,0.8758623616,1.0061144737,1.0034403599,1.0753811669,1.0368984249,0.9945336407
BGR,1.1384772656,0.9164199701,1.238028666,0.9131327822,1.1771781926,1.1013090519,1.0831726538,1.0020090577,1.1697693229,1.2144546878,0.9050172485,0.811793299,1.1850822322,1.2499069336,0.9032115292,0.955206072
BHR,1.0349762916,1.562022617,0.8133423822,1.0194161187,1.0087291847,0.9348887019,1.1699713199,0.296172149,0.8993618027,1.2085632721,0.9494772856,1.0239163379,1.0939802591,0.9055550839,1.1367757757,0.9279955734
BHS,1.0919192493,1.1727519257,1.0446204112,1.0486531095,0.745932044,1.0462680563,1.1398710483,0.9978704077,1.1807794347,0.7244021137,0.0232050773,1.4660047743,1.049886014,-0.2426567475,0.9430403677,0.9224391043
BIH,0.4346819862,1.1510595644,0.9617716847,1.0533230782,0.9623781278,1.0957217284,0.9351427093,1.1042672256,0.8185242405,0.8888004861,0.9598727296,0.7716177817,1.1170219477,1.0798934647,1.1373507337,0.9588572868
BLR,1.2012680695,1.1335864895,1.114728943,1.0963867279,1.0461961357,1.1516916772,1.0969197397,1.2240051988,1.1143418358,1.0814787611,1.0875430433,1.0781546825,1.0483407712,1.0031068211,1.0131844708,1.0327258406
BLZ,0.857122851,1.1184562391,1.3221410735,1.0818674892,1.0345377978,0.9577883861,1.0011279499,0.9027870476,1.3897354914,0.7657603997,0.5667931817,0.8221019272,1.4766417209,0.8726067137,1.0311011594,1.0012014288
BMU,1.2026960143,1.1444487204,0.8453908319,1.1736863424,1.1096507251,1.2937089264,0.4637947778,0.2426772575,1.2533525347,1.4773638363,0.4473928609,1.5383193599,0.6683878098,1.3088475395,,
BOL,1.2337738659,1.1125265354,1.1026190773,0.0876767517,1.2344895019,1.2287965188,0.613376054,1.4614543875,0.9715633788,0.9516602876,0.9054284351,0.976881054,0.7660878228,1.0358511396,1.0408309313,1.0715736894
BRA,1.0324563723,0.9697652417,1.0921650895,1.0872570634,1.0115286167,1.0070055553,1.0771323032,1.0292558186,0.9640013913,1.1031023597,0.8532106252,0.9839591212,0.8977339614,0.9147725245,0.9156002443,0.9697234756
BRB,1.126234474,0.8977552632,1.0037629331,0.9770404856,0.9873882554,0.9868507748,1.0855034452,1.0460752225,0.6308311546,0.9236129842,1.1778621256,0.9453823003,1.0828210928,1.0284719143,0.9536077194,0.9768906394
BRN,0.640252758,1.1432361899,1.1355015277,0.959516049,0.8323229519,1.0048097552,1.1463537421,-0.4595764616,0.7955082137,1.2381100302,0.9640982337,0.7042119345,1.0273754192,1.3401460387,0.7486397765,0.862419426
BTN,1.0795367636,1.2219098589,1.0339329488,1.3536645469,1.4977370723,0.5506724504,1.1561400395,1.358516497,0.9422692505,1.2948762158,0.695302647,0.110548261,0.8656017293,0.8796855845,1.018186535,1.1063372178
BWA,0.6437455574,0.9681078799,1.0527007736,1.1698419667,1.0172255285,0.9872189069,1.1467581502,1.1175282198,0.9908670858,1.0942356103,0.7097452707,1.2910979649,1.0669739263,0.7634113465,0.7822398144,0.9829419759
CAF,0.9227793288,1.2573479894,1.072330844,0.9791857506,1.1198976847,1.0181642098,0.9674397808,1.0620613529,1.0410826194,1.0341847851,0.972651549,0.9530695387,0.9748281688,0.2455884454,1.034067582,1.0495966754
CAN,1.0212059725,1.0624589103,1.0413526963,0.9742704821,1.068257567,1.0855090394,1.0725759931,0.9617557238,1.0827142153,1.059132025,1.0161197546,1.0513081208,1.0158489981,1.0147519822,1.0477505331,1.0785947006
CHE,1.1161004249,0.9615623491,1.0752838925,0.9450017826,1.0313043293,1.0325069429,1.0992818158,1.1724181956,0.9841268958,1.0091310458,0.9882708123,1.21778066,0.9587216878,0.990704201,1.2231505554,0.9631999876
CHL,1.1962839804,1.2552962559,0.9927475761,1.0655450504,0.9886752578,1.0445499454,1.0263624841,0.8823563149,1.0645494063,1.1080681056,0.9490985699,0.922723281,1.0615318962,1.0255508853,1.0816343401,1.054268593
CHN,1.1326060457,1.0559902698,0.9896335917,0.8205708673,0.8551233317,0.9228940157,1.0389523492,1.0981368889,1.1509948781,1.0672587372,1.0731818208,0.9984164489,1.1099674309,1.0853771477,1.140792946,1.1532445836
CIV,0.7930133986,0.7268823527,1.0796034124,1.4706600667,0.212410504,0.9919573163,1.2437310008,1.0987488605,1.0508568295,1.4004819606,0.8596759467,0.8377800934,0.5584645707,1.0289729729,1.0716908998,1.0189211762
CMR,0.8501303852,1.0968403663,1.0823674836,0.8551349702,0.9874391915,1.179051761,0.9737550584,0.0266370553,1.1584215887,0.6085969596,1.0487479517,1.3875322444,0.9643132585,0.8811916579,1.0940444703,1.0357952278
COG,0.5769789477,1.6247513508,1.6006449248,-0.1732655183,0.9962810448,1.0829220587,0.8399911384,0.7992125218,0.9499685804,0.5217406188,0.9056761406,0.7429394314,0.9387946654,0.9843079659,1.1001228774,0.9596972907
COL,1.0373318996,1.0910144929,1.0721186241,1.0138819336,1.1907090108,0.8757696246,1.066294239,1.1547697759,0.8864580101,0.897604042,0.9811279248,1.1218431113,0.9917155911,0.8473830852,0.9755818832,0.9704106273
COM,1.0161538085,1.0466587302,0.9585282898,0.8736619541,0.9607306618,0.9816231896,0.835816319,1.0160030558,0.9433600898,1.0389999995,0.8544374997,0.7046857161,1.1095121943,0.8665,1.0545674303,0.9747588288
CPV,1.1033272757,0.8067134962,0.7809374698,0.5266808435,1.0538006848,1.0462880677,0.9826675618,1.176842768,1.5922337884,0.8326417849,0.1115426472,0.8613957099,1.1603155515,1.2242958896,1.025463177,0.9757658431
CRI,1.0922773064,0.9634982258,0.8665547967,0.9880141682,0.992874636,1.0957550531,1.0750484246,0.8633638985,1.0911441173,1.0362490518,1.1855830755,1.0396186137,1.0891474063,1.0845355533,1.0218842997,1.0549254828
CUB,1.0571884751,1.1128329264,0.9780023769,1.1231152432,1.1541962873,1.1394781344,1.1270911461,1.191553653,0.8043890531,1.0651815465,0.4738753711,1.1822039698,1.0507823288,0.8764683606,0.9698565683,1.0462954145
CYP,1.0396776195,1.1112589408,1.012497687,0.9397363218,1.0298809667,1.0351697617,1.0413264093,1.0194929309,1.0383275432,1.0215844056,1.1146459647,1.0835687421,1.0738375068,1.0736938307,0.8373818418,1.0203809085
CZE,0.869250048,1.063133304,1.0976640083,1.032764264,1.187677641,1.0699161812,1.1031065097,1.0904657909,1.1627918665,1.0543896029,0.9721660572,1.1246715255,1.0933944246,1.037251183,1.1057119215,1.0881817931
DEU,1.0502642403,0.9972319914,1.0360038504,0.9830768412,1.0547098916,1.0602842426,1.0470274574,1.126903644,1.0158655501,1.0352917208,0.9681078958,1.1216083543,0.9986120216,0.9637612256,1.1353598123,1.0205189788
DJI,0.8451948024,0.888876326,0.8700145397,0.9521459987,1.1474256875,1.026784888,1.1141211755,0.8456261512,0.9526659489,1.2514118249,0.8274920193,1.2633651972,0.9062965401,0.7365231325,1.1319605467,1.0888936317
DMA,0.4610280983,0.866266987,1.0971013548,0.8570482427,1.1285185548,0.9337474884,1.1220092773,0.3943133197,1.4383016122,0.976604857,0.901966109,1.153092133,0.8649297863,1.0696751491,1.0340560911,0.9202070659
DNK,1.2217200764,0.960717583,1.0223954507,0.8236636416,1.236451083,1.1764185208,0.7684961306,1.178257101,1.1127866688,0.9948885122,1.0194440534,1.2267951891,1.2126839537,0.9204454228,1.2326484032,1.1929203901
DOM,0.9770298403,1.0335670901,0.9584907754,0.9777636093,1.3261311901,1.1475348984,1.084110879,1.0275887329,1.0392024254,1.1007454899,1.0559968404,1.0214454833,0.9949255376,1.155574058,1.0751367432,1.109830074
DZA,1.1690567069,1.1441517054,0.9521612888,1.105729575,1.1531585282,0.7124127106,1.1459406602,0.8999731883,1.032360629,0.8291259049,1.1105003575,1.023627978,0.919804822,0.9893927861,0.9278653601,0.9889033139
ECU,1.0945611454,0.8441599928,0.9200567446,0.8905869081,1.0036878526,1.0197805722,1.1829288234,0.8315916316,0.9989999596,0.8868986932,0.9514076744,1.0718772206,1.0696563316,0.9442501095,1.0124210683,1.0449695999
EGY,0.8464107818,1.2993313868,1.0193025712,0.7320498525,1.0411360499,0.8687716491,0.9963048721,1.0199879378,1.0391395381,1.0094941537,1.1427841661,0.891785081,1.0451997734,1.0814790856,1.0465665426,1.0443495853
ERI,0.9721054942,1.0996549324,1.142727073,0.5522007151,0.9069427497,1.0611353928,1.5139038836,0.9627106827,1.3460965919,0.5903914877,1.0438838109,0.8456705986,,,,
ESP,1.0159065386,1.0748088704,0.928977151,1.0364106963,0.9619382211,0.9864447211,1.1315581563,1.0344673806,1.1936886619,1.1587264176,1.0881871383,0.977627462,0.9697862207,1.161251999,1.0179457365,0.9111723271
EST,1.2625300271,1.0785433711,1.1845160721,0.897974465,1.0987054991,1.2763966452,1.2841354356,0.7537124879,1.0463080053,1.0394266622,0.519165997,1.0802218156,1.2129704809,0.7650528481,1.1235931685,0.9293633804
ETH,0.8653687137,0.6947659395,0.9522011914,0.7529974015,1.139539573,1.3067859888,1.058115413,1.0333045044,1.0178348705,1.1597565504,1.2651181035,0.8578841311,0.9471769206,0.7020994369,1.1602864326,1.1835909265
FIN,1.1790477637,0.8571376657,0.9527361428,0.8042526491,1.1825815837,1.4065122547,0.6763200025,1.1539407455,1.2578835917,0.9273007353,0.7609403914,1.2846558806,1.1646912721,0.9515674985,1.1503269213,1.1600115993
FJI,0.812068521,0.4579660924,1.5720000117,0.958289444,0.4595234086,0.6048058322,1.0424758044,1.2138069263,2.1913041672,-1.2603156566,0.0478072747,1.0634012605,1.0330178412,0.9747479146,0.9758022575,1.0901080849
FRA,1.0945077003,1.0362333528,1.0446198161,0.973617677,1.051448937,1.0075619266,1.0994715969,1.092582277,1.036346015,1.0305307479,0.9880399553,1.177848424,0.9905027261,1.0149472879,1.1818611054,0.9940589068
FSM,0.7716341755,0.4351549132,1.3463311569,1.0365172283,0.9353747552,1.3969921002,0.9361754852,0.6677177525,1.2525615107,0.2275707977,1.6229806036,0.9185564539,0.7820669795,0.878401135,0.7994029938,1.0537603546
GAB,1.0091875678,0.9969084047,1.0896301842,1.0141310487,0.9947681557,0.9902634145,1.214563408,1.140286994,0.9110621048,0.9233296426,1.0436010173,1.1719696793,1.0545085581,1.0337399073,1.046027272,1.0031695035
GBR,1.0474799014,1.0205080639,1.1063497784,1.0280379869,1.0465317737,1.0695249177,1.0561708448,1.0812524567,1.0371560402,1.0979273632,0.9615742109,1.1997383433,0.9418050113,1.0738841714,1.2365456865,1.1275703016
GEO,0.9481964241,1.4421425067,1.317349127,0.98132329,0.8170630244,0.8311045457,0.7407185903,1.1531802003,1.4414345992,0.6427156501,1.2502979922,0.6492872868,0.9851917944,1.0251573464,1.1194590613,1.0091356547
GHA,1.1549781658,0.8754052479,0.941528876,1.0462114621,1.1880749638,1.2176622566,0.4298968141,0.9844426807,1.3297130051,1.417500375,0.5517029847,1.3077250769,0.7502470236,0.6674923383,1.0801778593,1.0247353677
GIN,1.0383895648,1.0439895163,1.0627229162,0.9970982574,1.0468023465,1.3039858883,1.0499345712,0.9850275148,-0.5593874378,0.9308337365,0.7305749257,0.9403214186,1.2241722403,1.2672656089,1.0201492402,0.9603738136
GMB,0.9632142891,1.0611200047,0.7050324617,1.1373999963,1.0928488357,0.9811664818,0.9310619487,0.7184795968,1.0384948232,0.9999628574,0.9569425407,1.0651098251,0.9442511354,1.0162457117,1.028729043,1.0457179207
GNB,1.6124172635,0.9932309097,0.931756249,0.4860717245,0.9787143031,0.9738909991,1.0113140111,0.9263348188,1.0964026834,1.000649141,1.0566943555,1.1222723788,0.9048754501,0.9873010609,1.0641877825,1.0495352534
GNQ,1.4488545836,-13.0254275159,0.0527176205,0.8332336084,2.076145911,1.5451730331,1.1347017839,1.2873839649,1.489192647,0.9743998016,0.7972528855,0.2079186257,1.4551420262,1.0577689554,0.8290391852,0.6315858427
GRC,0.9735051502,1.0353182451,1.0853412981,1.0360651833,1.0928674899,0.94517909,1.1392414965,1.0227472548,1.0610329035,1.0255537821,1.0201689124,0.8750198259,0.9234570684,1.1043642693,1.0863754366,1.0903990281
GRD,1.1364171739,0.9214496723,0.9535932686,1.0770666256,1.0884166969,1.1512078503,0.7867764744,1.0575670352,0.8953200646,0.8677218208,0.9319518496,1.0718499787,0.8328037306,0.8009418687,1.0966809508,1.0782283888
GRL,1.170209016,0.9976194621,0.9805764418,1.0195667207,0.9350638537,0.9656163187,1.0797616867,0.976766971,1.001790223,1.287290975,0.7443450004,0.8962478471,1.4271558393,0.9407579217,0.9352190246,0.9877826625
GTM,0.8472460168,0.9014868405,0.9872879203,1.0994748461,0.9144441098,0.8990792523,1.0950139271,1.1296700672,1.2580995361,0.9365306475,1.089410326,1.0530735255,1.0361356664,0.7975642219,1.014166377,1.0481754858
GUY,1.0548637511,1.0634282317,1.0395074633,0.9983630848,0.9849418043,1.1928041331,1.3119081151,0.7051931107,1.0442741767,1.0568045484,0.8863968606,1.0342770383,0.8518980135,1.1647918194,1.0272193359,1.0178296526
HKG,1.2639723944,1.1343349869,0.9439116347,0.8704520337,1.253426553,1.0401878106,1.2263106833,1.0475624544,1.0306973179,1.0328435235,1.2037098907,0.9437175178,1.0500526559,0.9896896066,1.0770120207,0.9096365308
HND,0.9892545048,0.7796350465,0.9403839537,0.8631189546,0.9425449467,1.0687044655,1.2807551588,0.6026312109,1.1093718368,1.1334812062,1.0480533055,0.8264879309,1.0758864926,1.0376213408,0.9976492234,1.0362489747
HRV,1.1183429694,0.9500567974,0.9983017769,0.9876156248,1.112238745,1.0436415713,1.0753487119,0.9929592839,1.1414643064,0.9944388587,1.0365647865,1.0480450703,1.1326283604,1.0228902445,1.0719021504,0.9927666279
HTI,0.9620650897,0.6857463081,0.6682791795,1.1078602438,0.6429265773,0.9467400648,1.0092513599,0.7985654203,1.0107180295,1.170348649,1.0125899709,1.0218869369,0.9671581592,1.0071238226,1.0099390684,0.9817692378
HUN,1.1920038513,1.0175304093,1.1250765869,0.9798178615,1.151061168,1.0843360173,1.0966427611,1.0536805168,1.0553938073,1.0608880195,0.9949548226,1.1058592346,1.1060025236,1.165225311,1.0975600048,0.9663716534
IDN,0.9169330869,0.8294384028,1.0079554565,1.0284785567,0.9657199599,1.0873118509,1.0912243563,0.9449879921,0.895275905,0.9459477586,1.2060087232,0.4279939307,1.0266004294,1.5231748933,0.9280966253,1.0263470301
IND,1.0029464763,1.0780181355,1.0504258242,1.0678174785,1.0549736024,1.0619736955,1.0463667392,1.028854368,0.8449383417,0.9432570714,1.2281327315,0.980073818,0.9180608686,1.1111065204,1.0189499866,1.0517111205
IRL,1.0582524236,1.0133066392,1.177774784,1.0911233305,1.1123427968,1.0299792226,1.1407671764,1.0721885693,0.925611777,1.1232571463,1.0617405439,1.1754467914,0.9707835718,1.0739082243,1.1968351396,1.4828242112
IRN,1.170901555,0.9055960777,1.1441762717,1.0863857247,0.9471067207,0.9848815031,0.9361340749,0.9716444437,0.9430862102,1.0133145381,1.0833992391,1.0280341322,0.7906864635,1.0444878872,1.0156601816,0.9403373021
IRQ,1.0236314434,0.6859562545,0.8186068545,0.2641986041,1.4425445206,1.098064817,1.4762727749,1.7740713332,0.1262387404,0.8187548865,0.9770322859,0.7488723772,0.9738988419,0.9316385399,0.9785561954,1.0823998251
ISL,1.0369227794,1.0905997884,0.9430187819,1.0511083372,1.1289809719,1.1630235504,0.9959766407,0.9750223439,0.8247437991,0.8856474095,1.00596362,1.0904756321,1.0292254937,1.0812608855,1.0565978101,1.0108452646
ISR,1.0075631965,0.8939495175,1.1175962889,0.9200707141,1.2284605667,1.1594185746,0.9166082644,1.102849769,0.8940184013,1.137279954,0.9697128587,1.0938192952,0.8603018619,1.2080888586,1.1259306705,0.9644208619
ITA,1.0505688807,1.0096380045,0.9948545472,0.9350068543,1.0186646835,1.0264665799,1.0579121088,1.0640720502,1.021858695,1.0942674263,0.9855929145,1.0694279818,1.0721969633,1.1043504465,1.1085965257,0.9067791565
JAM,0.9511312804,0.9667314831,1.111115849,0.9887388371,1.02578243,1.0503227234,0.8652177075,1.3518297439,0.8687127926,1.3863464255,1.0947608485,0.9051237098,1.089806068,0.9006889308,0.9601852608,0.9791204698
JOR,0.9532996543,1.0398455798,1.0020460302,1.012728917,0.9598891886,0.9661702682,1.1557067997,1.073521752,1.2091388675,1.0572977941,1.1119705801,1.0050942048,0.7546393639,1.060773047,1.0036689146,1.0384949098
JPN,1.0212564243,1.0347243933,0.9434506201,1.0226402826,1.0457388231,1.0215975543,1.0604216092,0.9787625756,1.1052430017,1.006395115,0.9953899228,0.9171212896,0.9750928148,1.0161300471,1.0770058548,1.0691677123
KAZ,0.7610067152,1.381900401,0.9128132904,0.9583981563,1.0907249637,1.0417988316,0.9688604436,1.1171495424,1.0733967174,1.0664610286,0.8957631207,1.2277073485,1.0685825914,1.0539406477,0.998382873,1.0943855643
KEN,0.9635433686,1.2807408728,1.3107763308,1.3677643265,0.8381895837,0.8645878357,0.885396745,1.0815586357,0.9209977039,0.6475870942,1.1977465784,0.9049459297,1.2345139828,0.9885057096,1.0617522001,1.0889564645
